,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
8658, Not Disclosed by Recruiter ,15 - 18 yrs, Counselor| Teaching| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",HOD
8659, Not Disclosed by Recruiter ,5 - 6 yrs, JDBC| JMS| XSLT| Change management| Monitoring| Business process| Outsourcing| Operations| SAP PI,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services",Software Developer
8660,"50,00,000 - 80,00,000 PA.",14 - 22 yrs, finance function| taxation| financial reporting| ifrs| cash flow management| treasury| project funding,Senior Management,"Accounts , Finance , Tax , Company Secretary , Audit","Courier, Transportation, Freight , Warehousing",Head/VP/GM-CFO/Financial Controller
8661, Not Disclosed by Recruiter ,3 - 6 yrs, Logistics| MS Office| Supply chain management| Order management| Inventory control| Legal compliance| Continuous improvement| Employee engagement| SAP MM module| Customer satisfaction,Purchase/Material Management,"Supply Chain , Logistics , Purchase , Materials","Oil and Gas, Energy, Power, Infrastructure",Material Management Executive/Manager
8662, Not Disclosed by Recruiter ,2 - 5 yrs, Territory Sales| home appliances| Channel Sales,Retail Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Sales Executive/Officer
8663,"4,25,000 - 9,25,000 PA.",4 - 9 yrs, Regional Management| direct marketing| Region| business development| sales marketing| sales| Marketing| direct sales,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Regional Manager
8664, Not Disclosed by Recruiter ,1 - 3 yrs, Loans| Article submission| CV| Algorithms| Search engine| SEM| Social bookmarking| Business Executive| Search engine optimization,Programming & Design,IT Software - System Programming,"Banking, Financial Services, Broking",Software Developer
8665, Not Disclosed by Recruiter ,3 - 6 yrs, Relationship management| jQuery| Quality systems| ADO.Net| Conceptualization| WCF| Visual Studio| microsoft| Software implementation| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8666,"1,25,000 - 2,00,000 PA.",1 - 3 yrs, Economics| Law| Accounting| Subject Matter Expertise| Finance| Taxation,Content Development,"Journalism , Editing , Content","KPO, Research, Analytics",IT/Technical Content Developer
8667, Not Disclosed by Recruiter ,2 - 5 yrs, Marketing Specialists,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
8668,"15,00,000 - 30,00,000 PA.",8 - 12 yrs, regional sales manager,Channel Sales,"Sales , Retail , Business Development","Brewery, Distillery",Regional Sales Manager
8669,"50,000 - 2,25,000 PA.",0 - 3 yrs, data entry operations| international bpo| International Call Center| back office| Back Office Operations| backend| non voice,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
8670,"3,50,000 - 5,00,000 PA.",3 - 5 yrs, Advertisement Planning| collaterals| adobe| flyer| marketing communication| advertisement| Corporate Communication| catalogues| communication| corel draw,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Corporate Communication Executive
8671, Not Disclosed by Recruiter ,10 - 15 yrs, Python| Manager Quality Assurance| SDLC| Middleware| Configuration management| Enterprise applications| Data analysis| Test planning| Risk management| Data mining,Programming & Design,"IT Software - Application Programming , Maintenance","Education, Teaching, Training",Software Developer
8672, Not Disclosed by Recruiter ,1 - 6 yrs, Chemistry| Chemist| Pharma| Pharmacy| Quality,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Production Manager
8673, Not Disclosed by Recruiter ,4 - 8 yrs,Java| Agile| TDD| Spring| J2EE| Data Modeling| Spring Boot| Webservices| OOAD,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8674,"2,50,000 - 4,00,000 PA.",1 - 3 yrs, Tele Sales Executive| Sales| Outbound Sales| Telesales| Telecalling| Inside Sales| Prospecting| Tele Sales Officer| Tele Caller| inbound sales,Retail Sales,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Sales Executive/Officer
8675, Not Disclosed by Recruiter ,0 - 2 yrs, Social marketing| Business Development Executive,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
8676, Not Disclosed by Recruiter ,2 - 4 yrs, Business Analyst| Senior Analyst| Pharma| Analytical| Formulation| Consulting| Life sciences| Research,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Medical, Healthcare, Hospitals",Business Analyst
8677, Not Disclosed by Recruiter ,3 - 5 yrs, Relationship management| Lead generation| Networking| CRM| Sales achievement,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
8679, Not Disclosed by Recruiter ,1 - 3 yrs,Trust accounting| R2R| Consultancy,Retail Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Sales/Business Development Manager
8680,"2,25,000 - 4,25,000 PA.",0 - 5 yrs, sales strategy| business development| direct sales| Sales| Real Estate| property| Residential| Channel Sales| Bd| Commercial| villas| housing| apartments,Corporate Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager
8681,"14,00,000 - 24,00,000 PA.",10 - 20 yrs, Banca| Life Insurance| Team Training| Bancassurance Sales| Banking| Sales Strategy| Strategic Planning,Channel Sales,"Sales , Retail , Business Development",Insurance,Area / Territory Manager
8683, Not Disclosed by Recruiter ,2 - 3 yrs,Procurement| Process audit| Evaluation| Inprocess inspection| ISO 14001| ISO 9001| Business Executive| Petroleum| New product design,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Industrial Engineer
8684, Not Disclosed by Recruiter ,4 - 7 yrs, pre| solid works| design| function| mechanical| in design| auto cad| pro,Engineering Design,"Engineering Design , R&D","Automobile, Auto Anciliary, Auto Components",Design Engineer
8685,"8,00,000 - 14,00,000 PA.",5 - 10 yrs, financial analysis| variance analysis| forecasting,Operations/Processes/Finance/Legal,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Finance/Budgeting Manager
8686, Not Disclosed by Recruiter ,4 - 8 yrs, Information technology| Healthcare| Operations| Deployment| Interpersonal skills| Technical training| hardware configuration| Client coordination| Product training| Testing,Programming & Design,IT Software - Other,"IT-Software, Software Services",Software Developer
8687, Not Disclosed by Recruiter ,2 - 3 yrs, tech| security| operations| outsourcing| Quality| audit| engineering| pharma| modelling| lead| finance,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
8688,"1,50,000 - 2,75,000 PA.",0 - 1 yrs, BPO| Data Entry Operation| Cce| Inbound| Calling| Domestic| Night Shift| international bpo| bpo fresher| domestic bpo| telecaller| tele marketing executive| tele calling executive| BPO Hiring| bpo recruitment,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
8690, Not Disclosed by Recruiter ,1 - 3 yrs, HTML| Android SDK,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
8691,"INR 3,00,000 - 7,00,000 PA.",3 - 8 Years,sales presentations|cold calling|new business|customer service|presales|corporate sales|mice|hotel booking|lead generation|hospitality|hotel sales|client relationship|hotel|proposals,Retail Sales,"Sales , Retail , Business Development",Travel / Hotels / Restaurants / Airlines / Railways,Sales/Business Development Manager
8692, Not Disclosed by Recruiter ,5 - 9 yrs, International Sales| Surgical| Medical Tourism| conference| International Marketing| Promotions| Conferences| Events| Partnerships| Business Development| Hospital,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Medical, Healthcare, Hospitals",International Marketing Manager
8693, Not Disclosed by Recruiter ,12 - 16 yrs, Business planning| Healthcare| SMB| Account management| Windows| cxo| microsoft| Licensing| Portfolio management| Consumer electronics,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Client Servicing/Key Account Manager
8695, Not Disclosed by Recruiter ,2 - 5 yrs, VMware| SAN| Automation| Change management| Consulting| Active directory| Network security| Windows| microsoft| Virtualization,Programming & Design,IT Software - Other,"IT-Software, Software Services",Team Lead/Technical Lead
8696, Not Disclosed by Recruiter ,2 - 5 yrs,Unix| Supervisor| 3D| Software packages| Quality check| Photoshop,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Other,Associate/Senior Associate -(NonTechnical)
8697, Not Disclosed by Recruiter,4 - 9 Years,User research|Prototype|Consulting|Manager Technology|Web designing|Business modeling|User experience design|Usability testing,Programming & Design,"IT Software - eCommerce , Internet Technologies",IT-Software / Software Services,Graphic/Web Designer
8698, Not Disclosed by Recruiter ,7 - 9 yrs, Database design| XML| jQuery| Project management| SSIS| SSRS| MVC| Computer science| Version control| Agile methodology,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8700, Not Disclosed by Recruiter ,0 - 1 yrs, Usage,Other,"IT Software - Application Programming , Maintenance","Travel , Hotels , Restaurants , Airlines , Railways",Fresher
8701, Not Disclosed by Recruiter ,1 - 2 yrs, Administration| Networking| HR| Market survey| Research| Sales achievement,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Medical, Healthcare, Hospitals",HR Executive
8702, Not Disclosed by Recruiter ,7 - 10 yrs, DevOps| AWS| Jenkins| Configuration Management| CI| CD| Python| Ruby| Perl,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Support Engineer
8703, Not Disclosed by Recruiter ,0 - 0 yrs, Diploma| Mech| mechanical| iti,Other,"Production , Manufacturing , Maintenance","Chemicals, PetroChemical, Plastic, Rubber",Trainee
8705, Not Disclosed by Recruiter ,2 - 6 yrs, Recruitment| Customer Service Executive| Customer Care Executive| Customer Support Executive| Sales| CSR| Executive management| Management| Consultancy,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
8706, Not Disclosed by Recruiter ,2 - 7 yrs, Pdf| Social Media| Data Analysis| Marketing Campaigns| Data Analytics| Marketing Executive| Monitoring| Hr Solutions| Crm,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing",Product/Brand Manager
8707, Not Disclosed by Recruiter ,2 - 7 yrs, Process Design,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
8708, Not Disclosed by Recruiter ,12 - 17 yrs, Capacity management| SAP| Team management| Pharma| Workflow| Ale| Information technology| ABAP| Technical support| FICO,Programming & Design,"IT Software - ERP , CRM","Pharma, Biotech, Clinical Research",Software Developer
8709, Not Disclosed by Recruiter ,4 - 8 yrs, tableau| SDLC| Agile| Business analysis| Information technology| Change management| Analytical| User acceptance testing| Process re-engineering| Business transformation,Operations/Processes/Finance/Legal,"Financial Services , Banking , Investments , Insurance","Education, Teaching, Training",Audit Manager
8710, Not Disclosed by Recruiter ,0 - 0 yrs,ICD - 10| Health Care Services| Nursing| CPT| GNM| Healthcare| Medical Coding,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer
8711, Not Disclosed by Recruiter ,5 - 8 yrs, medical coding| Medical coder,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(Technical)
8712, Not Disclosed by Recruiter ,2 - 7 yrs, design| c++| C| MySQL| JavaScript| HTML,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Functional Outside Consultant
8713, Not Disclosed by Recruiter ,2 - 4 yrs,Graphic designing| CSS| jQuery| Web technologies| Illustrator| html5| Social media| Javascript| PHP| Photoshop,Programming & Design,"IT Software - eCommerce , Internet Technologies","BPO, Call Centre, ITeS",Graphic/Web Designer
8714, Not Disclosed by Recruiter ,1 - 5 yrs, Lead generation| Quality standards| Writing| Educational qualification| MS-CIT| Business Executive| Cost,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Internet, Ecommerce",Direct Marketing Executive
8715, Not Disclosed by Recruiter ,8 - 10 yrs, critical care| Consultant| medicine| ICU| hospital| resident,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Gynaeocologist
8716, Not Disclosed by Recruiter ,5 - 8 yrs, Agile| Test cases| JIRA| Test execution| Assurance| Wealth management| Test design| Test scenarios| Defect management,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
8717, Not Disclosed by Recruiter ,3 - 5 yrs,SQL| Struts| Hibernate| Ajax| JSP| SDLC| RDBMS| Software development life cycle| J2Ee| Spring,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
8718,"15,00,000 - 30,00,000 PA.",14 - 20 yrs, C#| .Net| WCF| ASP.Net MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
8719, Not Disclosed by Recruiter ,4 - 9 yrs, sales| marketing| crm| functional consultancy| user acceptance testing| creative designing| change management| communication skills| Salesforce Administrator,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8720, Not Disclosed by Recruiter ,3 - 6 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Regional Manager
8722,"3,00,000 - 5,50,000 PA.",5 - 10 yrs, industrial relation| IR| statutory compliances| Senior HR,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive
8723, Not Disclosed by Recruiter ,10 - 12 yrs, People management skills| Monitoring| Auditing| Training| Focus| Relationship| Legal| Management| Cost,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Collections Manager
8724, Not Disclosed by Recruiter ,7 - 10 yrs,Java| J2Ee| Software Development| Software Engineering| Agile Development| Coding| Version Control| Feasibility Analysis| Development Testing| Design Development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8725, Not Disclosed by Recruiter ,5 - 7 yrs, asset servicing| Client servicing| Accounting| Reconciliation| Regulatory compliance| Transaction processing| Operations| STP,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Associate/Senior Associate -(NonTechnical)
8726,"8,00,000 PA.",7 - 10 yrs, Business Development| Sales Operations| Marketing| Client Relationship Management| Competitor Analysis| Product Strategy| Market Research| Consumer Behaviour| Product Portfolio| Innovation Management,Creative,"Design , Creative , User Experience","Travel , Hotels , Restaurants , Airlines , Railways",Product Designer
8728, Not Disclosed by Recruiter ,2 - 7 yrs, Broking| Email| Fund management| Research Analyst| Trading| stock executive| Inventory,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
8729, Not Disclosed by Recruiter ,10 - 17 yrs, c| verilog| artificial intelligence| c++| rtl design| asic design| atsc| design verification,System Design/Implementation/ERP/CRM,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Consumer Electronics, Appliances, Durables",Subject Matter Expert
8730,"1,75,000 - 2,50,000 PA.",1 - 3 yrs, Outbound| Writing Skills| Inside Sales| Sales Executive Activities,Institutional Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales Executive/Officer
8731, Not Disclosed by Recruiter ,4 - 9 yrs,Information security| Operations| Business continuity| CISM| CISA| Business Executive| Lead Auditor| Associate| Information security management| ISO 27001,Corporate Sales,"Sales , Retail , Business Development","Security, Law Enforcement",Branch Manager/Regional Manager
8732, Not Disclosed by Recruiter ,5 - 7 yrs, Reconciliation| Investment banking| Financial services| Financial planning| Fixed income| Analytical| Wealth management| Product control| Swaps| FPA,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Manager
8733, Not Disclosed by Recruiter ,5 - 7 yrs,Maven| Hibernate| Production support| Coding| GWT| JSP| Information security| Web development| Struts| J2Ee,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8734,"8,50,000 - 10,00,000 PA.",15 - 20 yrs, Training| Manpower Planning| Policy Formulation| Selection| PMS| Employee Engagement| HR| Talent Management| Statutory Compliance| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Automobile, Auto Anciliary, Auto Components",HR Manager
8735,"3,00,000 - 6,00,000 PA.",5 - 8 yrs, Channel Sales Management| General Trade| FMCG Sales| Primary Sales,Retail Sales,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager
8736, Not Disclosed by Recruiter ,2 - 5 yrs, Supply chain management| Automation| Sales| Cloud| Financial management| UAT| Release management| Performance improvement| Testing| Salesforce,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
8737, Not Disclosed by Recruiter ,2 - 3 yrs, travel| english| handling| soft skills training| communication skills| excellent communication skills| experience| written communication| content| group,Training,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Soft Skills Trainer
8738, Not Disclosed by Recruiter ,1 - 5 yrs, Industrial design| Cost estimation| Automotive| Mechanical design| New product development| Technology solutions| System analysis| Mechanical engineering| Technical documentation,Engineering Design,"Engineering Design , R&D","Automobile, Auto Anciliary, Auto Components",Design Engineer
8739, Not Disclosed by Recruiter ,1 - 2 yrs, English| Web technologies| Content| Science| Writing| Research| Business Executive| Testing,Content Development,"Journalism , Editing , Content","Pharma, Biotech, Clinical Research",Content Developer
8740, Not Disclosed by Recruiter ,2 - 7 yrs, SPRING| SERVLETS| HIBERNATE| JDBC| STRUTS,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
8741, Not Disclosed by Recruiter ,0 - 3 yrs, CSA| financial products| Fixed income| Equity| MS Office| Operations| OTC| Trade processing,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
8742, Not Disclosed by Recruiter ,15 - 20 yrs, national sales| Business Head| channel development| Aftersales| sales head| channel sales| channel sales manager| Dealer Development| channel dealer distributor,Senior Management,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components",Head / VP/ GM/ National Manager After Sales
8743, Not Disclosed by Recruiter ,5 - 6 yrs, Accessories| CRO| Manpower management| Sales| People management skills| Customer satisfaction| Customer complaints,Retail Sales,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Retail Store Manager
8745, Not Disclosed by Recruiter ,2 - 6 yrs, Unix| Web services| Networking| SAN| Agile| Network security| Coding| Graphics| Maven| System testing,Programming & Design,IT Software - Other,"IT-Software, Software Services",Software Developer
8746,Openings: 1,2 - 4 Years,Global Product Support Engineer|Product Support|Problem Solving|New Product|Product Support Engineer|Support Engineer|Interpersonal Skills,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Telecom / ISP,Technical Support Engineer
8747, Not Disclosed by Recruiter ,1 - 3 yrs, HRMS| peoplesoft,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
8749, Not Disclosed by Recruiter ,5 - 10 yrs, Raw material| Material testing| Lab Incharge| Testing| Consultancy,R&D,"Engineering Design , R&D","Recruitment, Staffing",Lab Technician/Medical Technician/Lab Staff
8750,"3,00,000 - 6,00,000 PA.",2 - 7 yrs, executive assistant| ea| personal assistant| pa| front office executive| foe| front desk| receptionist| front office manager| fom| executive secretary| counselor| bd| visa| travel| hospital| hospitality| hotel| guest relations| pro| pr| cse| csr,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",Other,Associate/Senior Associate -(NonTechnical)
8751, Not Disclosed by Recruiter ,2 - 5 yrs, automotive lighting| Training| MIN| Costing| Engineering Design| Electricals| Auditing,Engineering Design,"Engineering Design , R&D","Automobile, Auto Anciliary, Auto Components",Design Engineer
8752, Not Disclosed by Recruiter ,2 - 7 yrs, Business Development Executive| Lead generation,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
8753, Not Disclosed by Recruiter ,2 - 5 yrs, Communication management| functions| developing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8755, Not Disclosed by Recruiter ,1 - 5 yrs, Content management system| PHP| E-commerce| Web technologies| application| web,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Software Developer
8756,"2,50,000 - 3,75,000 PA.",2 - 5 yrs, Human Resource Management| HR| human resource| hr manager,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Financial Analyst
8757,"3,00,000 - 7,00,000 PA.",4 - 8 yrs,Java| Angularjs| J2Ee,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8758, Not Disclosed by Recruiter ,8 - 13 yrs, SAP Security Consultant,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
8759, Not Disclosed by Recruiter ,7 - 10 yrs, Tally| Reconciliation| VAT| TDS| Income tax| Payroll| Variance analysis| Journal entries| Creditors| Analytical,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Manager
8760, Not Disclosed by Recruiter ,1 - 5 yrs, Project management| Billing| Procurement| Manager Quality Control| Scheduling| Machinery| Fire protection| Claims| electromechanical| Management,Site Engineering,"Site Engineering , Project Management","Oil and Gas, Energy, Power, Infrastructure",Construction-Construction Management
8762, Not Disclosed by Recruiter ,1 - 3 yrs, Reports| HR Policies| Recruitment| Talent Acquisition| Talent Management| Human Resources| Succession Planning| Stakeholders| HR Head,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Recruitment Executive
8763, Not Disclosed by Recruiter ,7 - 10 yrs, Mutual funds| trade compliance| Design development| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Team Lead/Technical Lead
8764, Not Disclosed by Recruiter ,0 - 4 yrs,PDF| J2Ee| Oracle| spring boot| Javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
8765, Not Disclosed by Recruiter ,1 - 3 yrs, entertainment| seo| social media| copy editing,Editor,"Journalism , Editing , Content","Media, Entertainment, Internet",Features Editor
8766,"7,00,000 - 9,00,000 PA.",3 - 5 yrs, ms office| Vendor Management| LMS| learning management system| Cornerstone,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","Banking, Financial Services, Broking",System Administrator
8767, Not Disclosed by Recruiter ,2 - 3 yrs, inside sales| erp sales| software sales| Cold Calling| Sales Coordination| it sales| software solution sales,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
8768, Not Disclosed by Recruiter ,3 - 6 yrs, Financial Statements| Financial Analysis| Valuation| Problem Solving| Financial Modeling| Training| Mba Finance| Key Skills| Process Compliance| Performance Management| Business Understanding| CA| CFA,Investment Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Asset Manager
8769, Not Disclosed by Recruiter ,10 - 16 yrs, STA| Synthesis| Timing Closure| EDA,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
8770, Not Disclosed by Recruiter ,0 - 3 yrs, Time Management| People Skills| Technical Skills| Emergency| Customer Focus| Communication,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer
8771, Not Disclosed by Recruiter ,1 - 6 yrs, RTOS| cortex| C++| Linux| Operating systems| Eclipse| Sensors| ARM| Embedded software,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Industrial Products, Heavy Machinery",Software Developer
8772, Not Disclosed by Recruiter ,1 - 6 yrs, Retail Sales| Sales,Retail Sales,"Sales , Retail , Business Development","Wellness , Fitness , Sports, Beauty",Sales Executive/Officer
8773, Not Disclosed by Recruiter ,9 - 11 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
8774, Not Disclosed by Recruiter ,6 - 11 yrs, RTD| PLC| Ethernet| Control valves| Instrumentation| Troubleshooting| Profibus| network architecture| Ladder logic| SCADA,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
8775, Not Disclosed by Recruiter,3 - 6 Years,SAP ABAP|Smartforms|Abap Objects|Adobe Forms|Enhancements|Workflow|Interfaces|ISU|Technical Design|Business Solutions,Programming & Design,"IT Software - ERP , CRM",IT-Software / Software Services,Software Developer
8776, Not Disclosed by Recruiter ,3 - 8 yrs, Sales| IT Sales| IT Product Sales| Solutions Sales| Manager Sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
8777,"2,25,000 - 3,50,000 PA.",1 - 6 yrs, School| Education| Cbse| Teaching,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Teacher/ Private Tutor
8778,"2,00,000 - 3,00,000 PA.",1 - 6 yrs, C#| bca| Java| CSS| dotnet| asp dotnet| HTML| mca| SQL Server| JQuery| .Net Trainer| XML| Computer Science| Javascript| Bootstrap| .Net| ASP.Net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8779, Not Disclosed by Recruiter ,2 - 5 yrs, Information technology| Business strategy| Proposal writing| Corporate marketing| Business Development Executive| Writing skills| Research| Market,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
8780,"1,25,000 - 3,50,000 PA.",0 - 5 yrs, voice| blended| csr| international bpo| technical| customer service| serco| call center| sales| banking| fresher| tsr| technical support| collections| uk| dayshift| airlines| non voice| bpo| process| tcs| cse| us shift| chat| looking| uk shift,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(Technical)
8781, Not Disclosed by Recruiter ,2 - 5 yrs, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,Programming & Design,"IT Software - ERP , CRM","IT-Software, Software Services",Team Lead/Technical Lead
8782, Not Disclosed by Recruiter ,6 - 8 yrs, html| sql server| struts| hibernate| ajax| core java| jsp| jquery| software development| product development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8783,"1,00,000 - 3,25,000 PA.",1 - 5 yrs, mpt| physiotherapy| bpt| medical records,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","KPO, Research, Analytics",Physiotherapist
8785, Not Disclosed by Recruiter ,3 - 6 yrs, Service| Appliances| SEO| Tools| Consumer electronics| Digital marketing| Customer acquisition| SEM| PPC| Coding,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",Webmaster
8786, Not Disclosed by Recruiter ,2 - 5 yrs, Computer science| Capacity management| Machine learning| Agile| Data mining| MATLAB| Monitoring| Financial services| SQL| Python,Senior Management,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Head/VP/GM-Technology(IT)/CTO
8787, Not Disclosed by Recruiter ,3 - 8 yrs, IT services| Business writing| Sales| Social media| Project management| Research| SEO| MS Office| Software services,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
8789, Not Disclosed by Recruiter ,2 - 6 yrs, Anesthesia| Critical care| Monitoring| Pulmonology| Senior Resident| RAM| DNB| Dmc,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Medical Officer
8790, Not Disclosed by Recruiter ,2 - 6 yrs, Regulatory Affairs| Dmf| Ra| Regulatory,Drug Regulatory Affairs/Documentation,"Legal , Regulatory , Intellectual Property","Medical, Healthcare, Hospitals",Regulatory Affairs Manager
